carrier,arr_flights,rarr_del15,rcarrier_ct,rweather_ct,rnas_ct,rsecurity_ct,rarr_cancelled,rarr_diverted,sum
9E,348901.0,17.840877498201497,4.200781883686207,0.6419586071693696,6.12275688519094,0.006239592319884439,2.3253014465421424,0.21983313318104564,68.64225095370892
AA,2813197.0,19.591731400253874,5.884786596886022,0.6767652603070485,6.767321307395104,0.04427098422186568,1.5154288874899269,0.2421799824185793,65.27751558102757
AS,656395.0,15.96584373738374,3.600674898498622,0.304427974009552,7.800382391700115,0.08566792861005953,0.9198729423594025,0.26173264573922717,71.06139748169927
B6,917395.0,25.32584110443157,8.122206901062263,0.4222706685778753,7.616431308215107,0.0694869712610162,2.0657404934624672,0.2571411442181394,56.12088140877157
DL,2896199.0,13.542646758734465,4.343304448347631,0.6598382914986162,4.734535506710705,0.012231203725987067,0.5458879034210011,0.19636081636655492,75.96519507119505
EV,924342.0,19.639808642255787,5.631479474047483,0.2906737982261976,6.575051225628604,0.0,2.8908131405908204,0.31947049901443403,64.65270322023669
F9,339700.0,24.994701206947305,6.795846335001467,0.2814395054459816,8.372955549013819,0.0,1.4230203120400353,0.14689431851633794,57.98514277303505
G4,138819.0,21.27086349851245,6.126402005489157,1.0921775837601488,5.1628811618006285,0.10100922784345086,0.7412529985088496,0.264373032509959,65.24104049157535
HA,249768.0,10.670702411838185,6.3030171999615625,0.39616764357323586,0.2767568303385541,0.04691553761891035,0.24542775695845745,0.10449697319112136,81.95651564651996
MQ,426723.0,19.71231923285129,4.135375876153852,1.1739746861547165,6.984509857682863,0.024076508648467505,3.857771903553359,0.27816639834271883,63.83380553661273
NK,508126.0,18.827220020231202,3.437196679563736,0.3973404234382809,10.903535737199041,0.0683570610439143,1.89972565859649,0.15330843137332079,64.31331598855401
OH,396304.0,19.580927772619,5.385052888691507,0.9534473535467723,4.7507418547377736,0.03740310468731074,3.8155052686826276,0.2884149541765917,65.18850680285843
OO,2226665.0,18.0228278613981,4.260615763933938,0.7148785291006943,5.558039040448392,0.0225579510164304,1.58721675689877,0.3384882773115848,69.4953758198921
UA,1835817.0,18.423677305526642,4.545750475129053,0.6472796580487066,7.415781638365918,0.002440330381514062,0.8701847733189092,0.2636428358600013,67.83124298336926
VX,136168.0,25.268785617766287,4.916955525527291,1.2946286939662763,10.304021502849434,0.1066182950472945,1.340256154162505,0.3796780447682275,56.38905616591269
WN,4123678.0,19.178097804920753,5.7360969988442445,0.4048179804533722,3.965838263802357,0.04642748536621918,1.6610414295199576,0.2065874202592928,68.8010926168338
YV,306604.0,19.800785377881567,6.305899466412704,1.2693637395467778,4.901038473079281,0.05597774327797421,2.7582810400386166,0.2478767400294843,64.66077741973359
YX,448103.0,18.343773641328,3.616460947594639,0.5532143279558493,8.184417421887375,0.017406712296056934,3.0754090019482128,0.2323126602589137,65.97700528673096
